species,repro_freq,Nsamples,mesh_name_long,rel_error_2PLF - maternity_c,rel_error_2PLF - maternity_m50,rel_error_2PLF - maternity_r_0,rel_error_2PLF - maturity_c,rel_error_2PLF - maturity_m50,rel_error_2PLF - maturity_r_0,rel_error_3PLF - fixed_c,rel_error_3PLF - fixed_m50,rel_error_3PLF - fixed_r_0,rel_error_3PLF - free_c,rel_error_3PLF - free_m50,rel_error_3PLF - free_r_0,abs_error_2PLF - maternity_c,abs_error_2PLF - maternity_m50,abs_error_2PLF - maternity_r_0,abs_error_2PLF - maturity_c,abs_error_2PLF - maturity_m50,abs_error_2PLF - maturity_r_0,abs_error_3PLF - fixed_c,abs_error_3PLF - fixed_m50,abs_error_3PLF - fixed_r_0,abs_error_3PLF - free_c,abs_error_3PLF - free_m50,abs_error_3PLF - free_r_0,conv_success_2PLF - maternity_c,conv_success_2PLF - maternity_m50,conv_success_2PLF - maternity_r_0,conv_success_2PLF - maturity_c,conv_success_2PLF - maturity_m50,conv_success_2PLF - maturity_r_0,conv_success_3PLF - fixed_c,conv_success_3PLF - fixed_m50,conv_success_3PLF - fixed_r_0,conv_success_3PLF - free_c,conv_success_3PLF - free_m50,conv_success_3PLF - free_r_0
Gummy shark,1 (Annual),50,High selectivity,0,-0.025409274,-0.222811969,-1.988658671,-2.104865311,-0.586249593,-1.988658671,-0.450735592,-1.79812215,-2.183605215,-0.512942328,-1.874770087,0,2.2674497186313616,1.4509683025349922,1.9886586714752599,2.589085269380135,2.946177785116497,1.9886586714752599,2.4445361766172167,2.939954693596828,2.183605214811907,2.4257278,2.8783951862133104,100,100,100,100,100,100,100,100,100,100,100,100
Gummy shark,1 (Annual),100,High selectivity,0,-0.077942246,0.028155482999827147,-1.156478718,-2.174923821,0.35471293555696826,-1.156478718,-0.316419409,-0.902869733,-0.995138897,-0.291630855,-0.731979958,0,1.3193821911556334,0.8680143878835687,1.1564787182762049,2.290756552282555,2.117023621929708,1.1564787182762049,1.402373106,1.7191700149368623,0.9951388970434037,1.3353966428555062,1.5120109132821997,100,100,100,100,100,100,100,100,100,100,100,100
Gummy shark,1 (Annual),250,High selectivity,0,-0.013449907,-0.005681936,-1.056538133,-2.140682001,0.4923470108550812,-1.056538133,-0.227714581,-0.838409723,-0.74027821,-0.173453077,-0.564465905,0,0.9143466039308009,0.5233092697314627,1.0565381326453096,2.151906844053341,1.5714217770620695,1.0565381326453096,0.9368658296419045,1.2282555729052813,0.7402782096609226,0.9448057637387338,0.9720848281415265,100,100,100,100,100,100,100,100,100,100,100,100
Gummy shark,1 (Annual),500,High selectivity,0,-0.008042628,-0.043949,-1.072892076,-2.187126595,0.5060632295644725,-1.072892076,-0.232772476,-0.878215466,-0.53855645,-0.124933667,-0.44414163,0,0.6245951691444162,0.4144857366025075,1.0728920756649858,2.1871265953021086,1.2844782378309847,1.0728920756649858,0.6686084235125859,1.1226577051892286,0.5385564500274564,0.6515909010262204,0.7302437482895111,100,100,100,100,100,100,100,100,100,100,100,100
Gummy shark,1 (Annual),1000,High selectivity,0,-0.040428743,-0.00299817,-0.924792798,-2.118928593,0.6346736438887159,-0.924792798,-0.231969352,-0.71926655,-0.396386897,-0.124387124,-0.29691009,0,0.4345041481398008,0.2491160151916205,0.9247927984138249,2.1189285931565123,1.0626030904267307,0.9247927984138249,0.4963301917411251,0.8453830431429522,0.39638689710791547,0.4622543340497818,0.4691314292127954,100,100,100,100,100,100,100,100,100,100,100,100
Gummy shark,1 (Annual),2500,High selectivity,0,-0.007851971,0.015090303023632302,-0.718277877,-2.150154895,0.8587571849816901,-0.718277877,-0.15687876,-0.540878027,-0.204880053,-0.051478228,-0.136228913,0,0.3147329087719796,0.18735202210336543,0.7182778771090889,2.1501548945717275,0.9367549281553466,0.7182778771090889,0.35033170126256025,0.6010952028926002,0.20488005288042466,0.3263687189659109,0.2830393549685586,100,100,100,100,100,100,100,100,100,100,100,100
Gummy shark,0.75 (Annual / biennial),50,High selectivity,33.33333333333333,7.636143183,19.04994626044816,-0.126571428,-2.422373923,1.5137936086061525,0.3996472666694417,-0.186536163,-1.08939064,4.761302232269402,0.6625998303771841,2.881485246801294,33.33333333333333,8.320269959416606,19.291498767356178,19.26986026105199,2.7769512605029325,19.548868465619535,18.937008120030065,4.603956122946496,16.04156354072929,17.383050675491404,4.485917154757824,13.73083513076514,100,100,100,100,100,100,99,99,99,100,100,100
Gummy shark,0.75 (Annual / biennial),100,High selectivity,33.33333333333333,8.099635725878091,19.97547959787585,0.2929703512448255,-2.021774074,1.7977202208207492,0.2929703512448255,0.13975531300702496,-0.785760072,3.447919789622672,0.6311234415278968,2.017156764473729,33.33333333333333,8.107662559069862,20.01814410536011,14.77654451530778,2.200201402289675,15.069095780847015,14.77654451530778,3.256497743525353,12.595201919209392,13.474995695014805,3.366673796361668,10.832924832209535,100,100,100,100,100,100,100,100,100,100,100,100
Gummy shark,0.75 (Annual / biennial),250,High selectivity,33.33333333333333,8.110597630741502,19.87504306122703,-0.98249177,-2.171830146,0.578632613,-0.98249177,-0.183465445,-1.31230087,1.5433457920043436,0.27253055339192966,0.8030975164473895,33.33333333333333,8.110597630741502,19.87504306122703,9.625999081605622,2.174902454050503,9.804074743927979,9.625999081605622,2.1397552099616095,8.193330019136505,8.896021916109706,2.2481881221454483,7.132951852105917,100,100,100,100,100,100,100,100,100,100,100,100
Gummy shark,0.75 (Annual / biennial),500,High selectivity,33.33333333333333,8.084914963967064,20.308589909867635,0.047272536,-2.078628653,1.5905034646060634,0.047272536,0.089606021,-0.180121987,1.126103839,0.27089245044264315,0.7879688712023046,33.33333333333333,8.084914963967064,20.308589909867635,6.396059313899864,2.078628653152152,6.650806380633748,6.396059313899864,1.4429329778007427,5.4030652891721305,5.338588400126991,1.3722983653322312,4.429607570781981,100,100,100,100,100,100,100,100,100,100,100,100
